This is a list of functions that seem to have two or more definitions
as of early May 2014. I have removed all the ones where tmprint and
fmprint clash since basically everything clashes there!
The entries "lambda_xxxx" are where identical lambda expressions are used,
which is perhaps not a worry but it may be an opportunity to introduce
a tidy named function for that operation.

Where the functions listed here do genuinly differehnt things it will signal
that having the two packages that they exist in loaded at the same time
may cause damage.

!*k2pf                         defined in excalc xideal eds
!*num2id                       defined in gentens indices
add!+vector!+to!+list          defined in gramschm symatvec
add2resultbuf                  defined in superv libreduce
add_ndg                        defined in geometry geoprover
addm                           defined in matsm sparsmat
addm1                          defined in matsm sparsmat
addmpf                         defined in partitsf xexcalc
addpf                          defined in partitsf xexcalc
adjoin                         defined in sl2psl lto
adomainp                       defined in numeric plotnum
afactor                        defined in afactor xcolor
alistp                         defined in baglist assertcheckfn
altitude                       defined in geometry geoprover
angle_sum                      defined in geometry geoprover
applyfnrd                      defined in mathml mml_ir
approx                         defined in approx sfellip
attributes                     defined in mathml tools
basis                          defined in vecanlys froben
bassoc                         defined in hephys tensorio
butes                          defined in mathml tools
bvarrd                         defined in mathml mml_ir
canonical                      defined in dummycnt contrtns
charnump!:                     defined in genpurfn spaces
check_linearity                defined in linalg splinalg
ciml                           defined in mathml mml_ir
circle                         defined in geometry geoprover
circle_center                  defined in geometry geoprover
circle_sqradius                defined in geometry geoprover
clear_ndg                      defined in geometry geoprover
cnml                           defined in mathml mml_ir
comes!-before                  defined in modpoly bigmodp
companion                      defined in linalg froben
complex!*off!*switch           defined in specfn specbess
complex!*on!*switch            defined in specfn specbess
complex!*restore!*switch       defined in specfn specbess
compress!*                     defined in mathml tools
conditionrd                    defined in mathml mml_ir
conv                           defined in convert expon
convert                        defined in ludecom convert
copy_mat                       defined in linalg froben
copy_vect                      defined in perms sparsmat
copyd                          defined in cslprolo csl
cross                          defined in dummy1 v3tools
declarerd                      defined in mathml mml_ir
deg                            defined in polyop desir odesolve
deg!*form                      defined in degform xexcalc
degree                         defined in sfto trigsmp2 turtle
degreeml                       defined in mathml mml_ir
delall                         defined in mathml tools
delasc                         defined in smacro general
delqip                         defined in sl2psl lto
delqip1                        defined in sl2psl lto
depend                         defined in depend orthovec
depends                        defined in depend cantens
determinantrd                  defined in mathml mml_ir
dfargs                         defined in mathml mml_ir
dfml                           defined in mathml mml_ir
diag                           defined in linalg froben
diffp                          defined in diff changevr odepatch fixes2
diffrd                         defined in mathml mml_ir
dipfmon                        defined in dipoly a2dip
dipprin2                       defined in vdp2dip dipprint
domain!-!*                     defined in mv reddom
dummyp                         defined in dummycnt ctintro
dv_skel2factor1                defined in dummycnt ctintro
dv_skelsplit                   defined in dummycnt ctintro
elim                           defined in multroot cdiffx
equalml                        defined in mathml mml_ir
equalreval                     defined in eqn pmpatch
errorml                        defined in mathml tools
evalmax                        defined in defintx convert
evalplus                       defined in defintx convert
expression                     defined in mathml mml_ir
expt!-int                      defined in ludecom plotnum definta
exptexpflistp                  defined in solvelnr edspatch
exptpri                        defined in mprint utf8
extractmat                     defined in geometry geoprover
fancy!-level_sdniqcjau4jc      defined in fmprint excalc
find                           defined in mathml tools expon
find!*var                      defined in codad1 codad2
find!+var                      defined in codad1 codad2
find_companion                 defined in linalg jordsymb
first                          defined in cslrend avector
flag1                          defined in rcref crack
flatindxl                      defined in auxitens indices
flatten                        defined in int mrvlimit
fnrd                           defined in mathml mml_ir
frobenius                      defined in desir systems froben
fullcopy                       defined in dummy sparsmat
functionp                      defined in assertcheckfn randpoly
gb_vars                        defined in gb crgb
gentran                        defined in intrfc codgen
get!*fdeg                      defined in excalc xideal
get!*ifdeg                     defined in excalc xideal
get!+vec!+dim                  defined in gramschm symatvec
get!+vec!+entry                defined in gramschm symatvec
get!-impfun!-args              defined in cantens excalc
get_coeffs                     defined in linalg froben splinalg
get_content                    defined in mathml tools
get_kernels                    defined in crint tools21
get_token                      defined in mathml tools
get_variable_list              defined in linalg splinalg
getargsrd                      defined in mathml mml_ir
getcind                        defined in codad1 codad2
getmat                         defined in lamatrix matarg
getrtype                       defined in reval physop
getrtype1                      defined in reval avector
getrtype2                      defined in reval avector
gram!+schmid                   defined in gramschm symatvec
groebfasttest                  defined in buchbg groeweak
groebtestrestriction           defined in grinter2 groebrst
gvar1                          defined in invbint grinterf
gvarlis                        defined in invbint grinterf
gvarlis1                       defined in invbint grinterf
i2bf!:                         defined in simp arith
ident                          defined in nestdom pattdefn
indvarprt                      defined in gentens indxprin
init                           defined in codctl bibasis_involutive
innerprod                      defined in numeval ludecom
intersection_point             defined in geometry geoprover
intervalrd                     defined in mathml mml_ir
isimp1                         defined in hephys red2cvit
iv_minus                       defined in ofsfanuex raiv
iv_mk                          defined in ofsfanuex raiv
iv_print                       defined in ofsfanuex raiv
kernelp                        defined in noncom2 table1
