Change;Linux32;Linux64;MacOS32 (abandoned);MacOS64;FreeBSD x86;FreeBSD x64;Windows32;Windows64;ARM32;ARM64;RISCV32;RISCV64
Correct Lshift for bignums;OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
Print NaN/Inf correctly;OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
Fix for PSL compiler: id constant? Property;OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
(quotient 0.0 0.0);OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
Get-image-path etc.;OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
Lisp disassembler;OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
Better 64bit code in Compiler for x86_64;n/a;OK;n/a;OK;n/a;;n/a;;n/a;n/a;n/a;n/a
exploden and friends;done;done;-;done;done;done;done;done;done;done;;
Reading high order bit chars from terminal;OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
PSL land bignum/smallnum;;OK;-;OK;OK;OK;OK;OK;;;;
Improvements to line breaking in output;OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
PSL scantable for 256 chars;OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
Reasonable default heap size;OK;OK;-;OK;OK;OK;OK;OK;;;;
Printing of chars with high order bit set;OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
Increase default size of binding stack;;OK;-;OK;;OK;;OK;OK;OK;;
Increase default size of symbol table;;OK;-;OK;;OK;;OK;OK;OK;;
Unicode support;;experimental code;-;;;;;;;;;
Inline floating point ops;;experimental code;-;;;;;;;;;
PSL for ARM;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;done;done;n/a;n/a
PSL for RISC-V;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;
Extend special symbol table slots for single character ids from 128 to 256;TBD;TBD;-;TBD;TBD;OK;TBD;TBD;OK;OK;;
Use crlibm for float functions;OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
Proper support for IEEE non-finite numbers (e.g. correct handling in equal and eqn);OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
Correction to debug module;OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
Hashtable implementation;done;done;-;done;done;done;done;done;done;done;;
BT/BSR/BSF Instructions for i386 and x86_64;done;done;-;done;done;done;done;done;n/a;n/a;n/a;n/a
Correct line breaking when printing bignums;OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
Fix compiler bug for i386 and x86_64 when optimizing move to stack;OK;OK;-;OK;OK;OK;OK;OK;n/a;n/a;n/a;n/a
Impose limit on id numbers in faslout;OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
Allow for dump of binding stack on overflow;OK;OK;-;OK;OK;OK;OK;OK;OK;OK;;
